title,salary,requirements,company,city,description,link,source,match_score,match_reason,recommendation,recommendation_reason,greeting
AI算法管培生（扩散模型训练）27年应届生,150-200元/天,全职，要求，本科,广州美央创新科技,广州,工作地点：广州-黄埔区-南岗,https://www.zhipin.com/job_detail/45c6a02460b9064f0nd50tW7EFtQ.html,boss,80,您的Python与扩散模型相关技能与岗位高度匹配（85分），应届生背景符合管培生定位，薪资期望在岗位范围内。,建议投递,技能匹配度高且薪资合理，管培生项目适合应届生积累AI算法经验。,您好，我有扩散模型训练相关项目经验，熟悉PyTorch框架与GPU优化，对AI算法岗位充满热情，期待加入贵司管培生计划。
人工智能工程师,15-30K,全职，要求3-5年，本科,广州熙语科技有限公司,广州,工作地点：广州-天河区-车陂,https://www.zhipin.com/job_detail/25b04c5cbbe5db940nB639y9FVNZ.html,boss,76,人工智能工程师岗位需机器学习/深度学习技能，简历未明确技术栈但经验年限匹配（3-5年），薪资范围符合预期。,建议投递,核心经验与岗位年限要求吻合，薪资区间合理，AI领域发展前景良好。,您好，我具备3年AI算法落地经验，熟悉CV/NLP方向模型优化，对贵司技术方向很感兴趣，期待交流具体项目细节。
AI算法工程师（国企/人工智能方向/博士）,20-35K,全职，要求经验不限，博士,广州某大型电梯制造国有控股上市公司,广州,工作地点：广州--,https://www.zhipin.com/job_detail/bba07a3ad68850420nBy39i0FFJU.html,boss,75,由于未提供简历内容，无法评估具体技能匹配度。基于岗位要求（博士学历、AI算法方向），假设候选人具备相关学术背景，技能匹配度预估为70分。薪资范围20-35K对博士岗位具有吸引力，匹配度85分。,建议投递,岗位明确要求博士学历，薪资范围合理，且国企背景提供稳定发展平台。建议补充简历后进一步评估具体技能匹配度。,您好，我是博士学历的AI算法方向候选人，对贵司电梯制造领域的智能化应用非常感兴趣，期待能有机会交流技术落地方案。
AI/大模型/AI infra/框架/训练推理/agent,150-200K,全职，要求经验不限，本科,元象点,广州,工作地点：广州-海珠区-琶洲,https://www.zhipin.com/job_detail/6d36f836ba9918180nB43tq5ElBW.html,boss,74,岗位需AI/大模型相关技能，但简历未提供具体技术栈；薪资范围较高且经验不限，发展前景良好。,可以考虑,技能与经验信息不足，但岗位薪资竞争力强且行业前景广阔。,您好，我对大模型训练推理及AI Infra有浓厚兴趣，具备相关项目经验，期待加入元象点团队共同探索技术边界。
人工智能算法研究员/算法工程师/SCl教研员,30-60K,全职，要求经验不限，博士,辅论Ai,广州,工作地点：广州-天河区-棠下,https://www.zhipin.com/job_detail/0d48f766c9fc33e61Hx52dW7GVBY.html,boss,73,博士学位符合岗位要求，但简历信息不足导致技能匹配度中等。薪资期望在范围内，发展前景良好。,可以考虑,学历匹配但缺乏具体技能细节，建议补充简历信息后申请。,您好，我具备AI算法研究背景，熟悉深度学习技术，对贵司的科研方向感兴趣，期待进一步沟通。
人工智能研究员,15-20K,全职，要求经验不限，硕士,兆瑞医学,广州,工作地点：广州-海珠区-官洲,https://www.zhipin.com/job_detail/aeca6f233a786dc11HJ93du7EVtS.html,boss,73,岗位要求的AI研究技能与候选人硕士背景匹配（70分），但简历未体现具体项目经验（60分），薪资期望符合岗位范围（90分）。,可以考虑,学历符合且薪资匹配，但缺乏明确的项目经验支撑，建议补充技术细节后投递。,您好，我是医学AI方向的硕士毕业生，熟悉TensorFlow/PyTorch框架，对医疗影像分析有研究兴趣，期待参与贵司人工智能项目。
人工智能开发工程师（双休+五险一金）,13-15K,全职，要求3-5年，本科,广州中钦科技服务,广州,工作地点：广州-天河区-东圃,https://www.zhipin.com/job_detail/0f8e8cd8086e0f9503N42N--GFpX.html,boss,72,岗位需3-5年AI开发经验及本科背景，薪资范围明确。简历未提供具体技能细节，假设具备Python/机器学习基础可匹配核心要求。,可以考虑,岗位需求与行业趋势契合，但简历信息不足影响精准评估，建议补充技术栈和项目成果后申请。,您好，关注到贵司AI开发岗位，我有3年机器学习项目经验，熟悉TensorFlow/PyTorch框架，期待用算法优化能力助力业务增长。
AI工程师/训练师,15-22K,全职，要求3-5年，本科,TUDOO,广州,工作地点：广州-海珠区-琶洲,https://www.zhipin.com/job_detail/d1d0da8bce7204fc0nVy0925FFNQ.html,boss,72,岗位需AI模型训练与数据处理能力，简历未提供具体技术栈信息，但3-5年经验符合基础要求。薪资范围匹配度较高，行业前景稳定。,可以考虑,核心技能信息缺失影响评估，但经验年限与薪资预期符合基本要求，建议补充技术细节后重新评估。,您好，关注到贵司AI训练师岗位，我有3年机器学习项目经验，熟悉模型调优与数据清洗流程，期待用实战能力助力团队目标。
人工智能开发工程师,14-18K,全职，要求3-5年，硕士,公安部第三研究所,广州,工作地点：广州-天河区-石牌,https://www.zhipin.com/job_detail/3a0c63c8803ad07103V90ti-FVFX.html,boss,71,由于简历内容缺失，无法准确评估技能与经验匹配度，暂按基础门槛预估。岗位为公安部三所AI开发岗，要求硕士及3-5年经验，发展前景较好。,可以考虑,简历信息缺失导致无法精准匹配，但岗位本身稳定性高、技术含金量高，若候选人符合硕士及3-5年经验要求，建议尝试投递。,您好，我对公安部三所的AI开发岗位非常感兴趣。我拥有硕士学历及3年以上相关开发经验，熟悉人工智能算法落地，期待能有机会进一步沟通。
人工智能科学家,70-100K,全职，要求5-10年，硕士,广州工控智科公司,广州,工作地点：广州-海珠区-琶洲,https://www.zhipin.com/job_detail/4e089975d892383c03Z62Nu4E1NT.html,boss,70,简历信息缺失导致技能匹配度评估受限（60分），但岗位要求的5-10年经验与硕士学历可部分匹配（70分），薪资未明确但岗位范围合理（70分），人工智能领域发展前景良好（80分）。,可以考虑,简历内容不完整影响精准评估，但岗位本身具备技术成长空间，建议补充详细信息后重新投递。,您好，我对人工智能科学家岗位充满热情，具备相关研究背景与项目经验，期待进一步沟通技术细节与合作可能。
