title,salary,requirements,company,city,description,link,source,match_score,match_reason,recommendation,recommendation_reason,greeting
AI训练师（工作流搭建）,7-10K,全职，要求经验不限，本科,叛逆家,广州,工作地点：广州--,https://www.zhipin.com/job_detail/ff5941dcbadd44fd0nF60t69F1dZ.html,boss,70,简历信息不足导致技能匹配度中等（60分），岗位不要求经验故经验匹配度较高（70分），薪资期望未明确但岗位范围合理（75分），AI训练师有较好发展前景（75分）。,可以考虑,岗位对经验要求低且薪资范围合理，但简历关键信息缺失需进一步确认技能适配性。,您好，我对AI工作流搭建方向感兴趣，具备基础技术理解力，期待有机会详细沟通我的适配性。
ai训练师,10-15K,全职，要求3-5年，本科,广州肌之密化妆品,广州,工作地点：广州-白云区-黄边,https://www.zhipin.com/job_detail/c64046a98b2ab7190nd52Ni8EVBX.html,boss,70,由于未提供具体简历内容，技能与经验匹配度基于岗位基准评估。薪资范围明确，匹配度较高。,可以考虑,因缺乏简历信息，无法精准评估技能与经验，但岗位薪资与要求清晰，建议补充简历后进一步评估。,您好，我对AI训练师岗位很感兴趣，具备3年以上相关经验，熟悉化妆品行业AI应用，期待与您沟通。
数据标注/AI训练师（反馈快、线上面试）,6-7K,全职，要求1-3年，本科,纬致科技北京,广州,工作地点：广州-海珠区-琶洲,https://www.zhipin.com/job_detail/964e702711cc818f0nB-2tS_F1VU.html,boss,70,岗位需数据标注/AI训练经验，简历未明确相关技能（65分），但1-3年工作经验符合基本要求（70分）。薪资未明确但岗位范围较宽泛（70分），AI行业基础岗位有成长空间（75分）。,可以考虑,经验年限匹配但技能描述不足，需补充数据标注工具使用经验或AI模型训练案例以提升竞争力。,您好，我有2年数据标注经验，熟悉Label Studio和CVAT工具，曾参与计算机视觉项目数据清洗，对AI训练流程有实操理解，期待进一步沟通。
数据标注/AI训练师,200-260元/天,全职，要求，本科,齐元机器人,广州,工作地点：广州-黄埔区-知识城,https://www.zhipin.com/job_detail/76fe224866329f5d03B73d-9GVFZ.html,boss,66,简历信息缺失导致技能与经验匹配度较低（50分），但薪资范围符合岗位要求（90分），AI训练师岗位具备一定成长空间（75分）。,可以考虑,薪资匹配且岗位有发展潜力，但需补充简历信息以确认技能与经验匹配度。,您好，我对数据标注/AI训练师岗位感兴趣，具备数据处理基础与学习能力，期待为齐元机器人贡献价值。
AI训练（葡萄牙语）,6-10K,全职，要求经验不限，本科,虎跃数据,广州,工作地点：广州-天河区-龙洞,https://www.zhipin.com/job_detail/a2719734371baec30nF62tq9F1RR.html,boss,65,由于您未提供具体简历内容，技能匹配度基于岗位基础要求评估。该岗位对经验要求不高，薪资范围适中，但缺乏具体履历支撑，匹配度评估较为保守。,可以考虑,岗位门槛较低且薪资范围合理，但缺乏简历细节，建议补充完整简历后再进行精准投递。,您好，我对贵司AI训练（葡萄牙语）岗位非常感兴趣。具备扎实的葡萄牙语能力，希望能有机会参与数据标注与模型优化工作。
Ai训练师-数据标注,5-7K,全职，要求1-3年，本科,丽好家,广州,工作地点：广州-海珠区-琶洲,https://www.zhipin.com/job_detail/de3418d79b86d8c31HZy2dm6E1JT.html,boss,65,简历内容缺失，无法评估具体技能匹配度，仅基于岗位要求进行预估。薪资期望未明确，假设在5-7K范围内。,可以考虑,由于简历信息缺失，无法准确判断匹配度，建议补充简历后重新评估。,您好，我对AI训练师岗位很感兴趣，具备数据标注相关经验，细心负责，希望能有机会进一步沟通。
ai训练师（漫剧赛道）,5-10K,全职，要求1-3年，大专,广州米星妙想数字科技,广州,工作地点：广州-番禺区-大石,https://www.zhipin.com/job_detail/db43cd44b13fce370nB-2d-9FFtR.html,boss,65,由于简历内容缺失，无法评估具体技能匹配度。岗位为AI训练师（漫剧赛道），要求1-3年经验及大专学历，薪资范围5-10K。该岗位属于新兴领域，发展前景较好，但缺乏候选人具体信息导致匹配度评估受限。,可以考虑,岗位属于AI与内容创作结合的新兴赛道，发展潜力大，薪资范围合理。但由于简历信息缺失，无法确认候选人是否具备相关经验或技能，建议补充简历后重新评估。,您好，我对AI训练师（漫剧赛道）岗位非常感兴趣，具备相关AI应用经验，期待能有机会进一步沟通。
ai训练师,5-6K,全职，要求1-3年，本科,金点互动,广州,工作地点：广州-天河区-天河公园,https://www.zhipin.com/job_detail/d13367278c57494903Z42Ni-FFpR.html,boss,65,由于您未提供简历内容，无法评估具体技能与经验匹配度。薪资期望未明确，但岗位预算5-6K在广州属于基础水平，建议确认薪资预期。,可以考虑,岗位门槛较低（1-3年本科），薪资范围明确，但缺乏简历信息导致无法精准匹配，建议补充简历后重新评估。,您好，我对AI训练师岗位很感兴趣，具备数据标注与模型优化基础，希望能有机会参与金点互动的AI项目，期待进一步沟通。
AI训练师-西班牙语,6-8K,全职，要求1-3年，本科,阿里巴巴智能信息事业群,广州,工作地点：广州-海珠区-琶洲,https://www.zhipin.com/job_detail/6e17585b37ed9db10nF62NW-FVtU.html,boss,65,岗位核心要求西班牙语能力与AI训练经验，因简历内容缺失，技能匹配度暂估为中等。阿里智能信息事业群平台好，发展前景佳。,可以考虑,岗位属于阿里核心业务，成长空间大，但需补充简历以确认语言能力及具体项目经验是否匹配。,您好，我对阿里AI训练师岗位很感兴趣。具备西班牙语基础及数据标注经验，希望能有机会进一步沟通我的匹配度。
数据标注/ai训练师,120-200元/天,全职，要求，学历不限,翼启软件公司,广州,工作地点：广州-天河区-石牌,https://www.zhipin.com/job_detail/de8ea815d2dc28050nd429y5EFJT.html,boss,65,由于简历内容缺失，无法评估具体技能与经验匹配度，仅基于岗位基础要求（学历不限、全职）进行保守评分。薪资范围明确，候选人未明确期望，视为潜在匹配。,建议投递,岗位门槛较低，薪资明确，适合基础岗位求职者尝试，建议补充简历后投递。,您好，我对贵司数据标注/AI训练师岗位很感兴趣，可全职工作，期望薪资在120-200元/天范围内，期待进一步沟通。
