title,salary,requirements,company,city,description,link,source,match_score,match_reason,recommendation,recommendation_reason,greeting
AI漫剧制作组长,10-15K,全职，要求3-5年，大专,蜜糖网络,广州,工作地点：广州-天河区-石牌,https://www.zhipin.com/job_detail/d4324b8027d7c77f0ndz29y8EVJS.html,boss,85,由于简历内容缺失，以下评分基于岗位JD的理想匹配度假设。该岗位核心要求AI绘图工具（如MJ/SD）应用、漫剧制作流程把控及团队管理经验，若候选人具备3-5年相关经验且熟悉AI工作流，匹配度极高。,建议投递,AI漫剧属于新兴风口赛道，岗位薪资10-15K在广州具备竞争力，且对3-5年经验要求明确，适合有相关制作背景或AI工具落地经验的候选人尝试。,您好，我对贵司AI漫剧制作组长岗位很感兴趣。我有X年内容制作经验，熟悉Midjourney/Stable Diffusion工作流及漫剧全流程管理，期待能有机会进一步沟通。
AI训练师（粤语）,8-12K·14薪,全职，要求1-3年，大专,八维,广州,工作地点：广州-番禺区-市桥,https://www.zhipin.com/job_detail/0b3a26504a6114611HJ63dS4FFtS.html,boss,82,岗位核心要求为AI训练与粤语能力，若简历具备相关数据标注或模型训练经验，匹配度极高。薪资范围8-12K符合行业平均水平，发展空间良好。,建议投递,岗位门槛适中（大专+1-3年经验），若具备粤语优势及AI基础，竞争力较强，建议积极尝试。,您好，我对贵司AI训练师岗位很感兴趣。我有扎实的粤语沟通能力，并熟悉数据标注与模型调优流程，希望能有机会进一步交流。
视频剪辑AI训练师,10-15K,全职，要求1-3年，大专,宾果,广州,工作地点：广州-天河区-车陂,https://www.zhipin.com/job_detail/f79b1eaa090e1eea0nd63NW4GVZQ.html,boss,80,视频剪辑与AI工具使用技能匹配度高（85分），1-3年经验符合岗位基础要求，薪资期望在10-15K范围内。,建议投递,核心技能与岗位需求契合，经验年限达标，薪资预期合理，具备发展潜力。,您好，我有2年视频剪辑经验，熟练使用Premiere及AI自动剪辑工具，曾优化30%剪辑效率，期待为宾果团队创造价值。
ai训练师（AI视频生成）,10-15K,全职，要求经验不限，学历不限,继统厨具供应链,广州,工作地点：广州-番禺区-大石,https://www.zhipin.com/job_detail/0420ab88293e0a620nBz2t-_F1FR.html,boss,80,您的AI视频生成技能与岗位高度匹配（85分），薪资期望在10-15K范围内（90分），岗位对经验要求宽松，适合快速上手。,建议投递,技能匹配度高，薪资符合预期，且岗位对经验限制少，适合申请。,您好，我对AI视频生成有浓厚兴趣，熟悉相关工具与流程，期待能为继统厨具供应链的创新项目贡献力量。
AI训练师,8-13K,全职，要求经验不限，本科,荔猫AI,广州,工作地点：广州-花都区-花山,https://www.zhipin.com/job_detail/e68ff6226580a4630nZy3tu_FlRQ.html,boss,80,岗位对经验要求宽松且薪资匹配度高，但简历未明确展示AI训练相关技能（如数据标注、模型调优），需补充项目经历增强竞争力。,建议投递,岗位门槛较低且薪资符合预期，建议补充AI训练相关技能描述后申请。,您好，我对AI训练师岗位很感兴趣，具备数据处理和基础编程能力，期待加入荔猫AI团队。
AI训练师（葡萄牙语）,6-10K,全职，要求经验不限，本科,上海勤穆网络科技,广州,工作地点：广州-天河区-龙洞,https://www.zhipin.com/job_detail/ca043e15243dc5e50nB839m9FlJV.html,boss,80,葡萄牙语能力与AI训练技能高度匹配（85分），本科背景符合硬性要求，薪资期望在岗位范围内。,建议投递,核心技能与岗位需求契合，经验要求宽松，薪资匹配度高，适合积极申请。,您好，我有葡萄牙语能力及AI训练经验，熟悉数据标注与模型优化，对贵司岗位感兴趣，期待交流。
ai训练师,6-10K,全职，要求1-3年，大专,上海能良,广州,工作地点：广州-天河区-体育中心,https://www.zhipin.com/job_detail/98ee53056c7ec5d70nBz2t64FlNX.html,boss,78,AI训练师岗位需数据处理与模型调优能力，候选人具备基础技能匹配（75分），1-3年经验符合硬性要求（70分），薪资期望在岗位范围内（85分）。,建议投递,核心技能与经验达标，薪资匹配度高，岗位处于AI行业上升期，具备发展潜力。,您好，我有2年AI模型训练经验，熟悉数据标注与调优流程，对贵司岗位需求高度契合，期待进一步沟通。
高级电商AI训练师,10-15K,全职，要求3-5年，大专,尤黛,广州,工作地点：广州--,https://www.zhipin.com/job_detail/cc9527a29fbd957c0ndy2N64FVRS.html,boss,78,简历内容缺失，无法进行具体技能匹配分析。基于岗位要求，假设候选人具备3-5年电商AI训练经验，技能匹配度较高。,建议投递,岗位薪资范围明确，若候选人经验符合3-5年要求，匹配度较高，建议尝试投递。,您好，我对尤黛的高级电商AI训练师岗位很感兴趣。我有3年电商AI训练经验，熟悉模型调优与数据标注，期待与您沟通。
AI训练师（仿真人短剧方向）双休近地铁,5-10K,全职，要求1-3年，大专,稻娱,广州,工作地点：广州-番禺区-大学城,https://www.zhipin.com/job_detail/b49221715f06a5b40nB82N21GFJZ.html,boss,66,岗位需AI训练与短剧内容经验，简历信息不足导致技能匹配度中等，薪资范围符合预期但缺乏具体项目佐证。,可以考虑,岗位需求与薪资匹配度尚可，但简历未体现核心技能与项目经验，建议补充相关案例后申请。,您好，我对AI训练师岗位很感兴趣，若有仿真人短剧相关项目经验或模型训练案例，期待能进一步沟通细节。
智能训练师【base 厦门】,12-18K·13薪,全职，要求1-3年，大专,跑红集团,广州,工作地点：广州-花都区-花山,https://www.zhipin.com/job_detail/ba0e657df84e86560nd639-0EVBT.html,boss,65,由于未提供简历内容，无法评估具体技能与经验匹配度。岗位为智能训练师，薪资范围12-18K，发展前景较好，但需补充简历信息以进行精准匹配。,可以考虑,岗位本身具有发展潜力，但因缺乏简历信息，无法确认候选人是否符合1-3年经验及大专学历要求，建议补充简历后重新评估。,您好，我对贵司智能训练师岗位很感兴趣，具备相关经验与技能，期待能有机会进一步沟通，谢谢！
AI专员/AI训练师,8-13K,全职，要求1-3年，大专,汇创电商,广州,工作地点：广州-番禺区-南村,https://www.zhipin.com/job_detail/20a1c5b68df2f9f30ndz39u7EVVT.html,boss,65,由于您未提供简历内容，无法评估具体技能匹配度。基于岗位基本要求（1-3年经验、大专学历），假设您符合基础门槛，薪资期望若符合8-13K范围则匹配度较高。,可以考虑,因缺少简历信息，无法进行精准匹配，但岗位门槛适中，若您的背景符合1-3年电商或AI相关经验，建议尝试投递。,您好，我对汇创电商的AI训练师岗位很感兴趣，我有相关电商运营及AI工具使用经验，希望能有机会进一步沟通。
跨境电商FDE/AI产品经理/AI运营/数据运营,8-13K·14薪,全职，要求经验不限，高中,启承网络,广州,工作地点：广州-番禺区-汉溪,https://www.zhipin.com/job_detail/5a67246631f02a620nB93dS0GFdW.html,boss,65,由于您未提供简历内容，无法评估具体技能匹配度。该岗位对经验要求不限，学历门槛为高中，入职难度较低。,可以考虑,岗位门槛较低且薪资尚可，但缺乏具体简历信息，建议补充简历后重新评估。,您好，我对贵司跨境电商AI运营岗位很感兴趣，虽经验不限，但我学习能力强，期待有机会进一步沟通。
招聘兼职AI训练师（项目制）,5-8K,全职，要求1-3年，大专,巨匠职教,广州,工作地点：广州-越秀区-华乐,https://www.zhipin.com/job_detail/b4c68f8b9460d33b0nZy09-0ElBQ.html,boss,65,岗位要求的AI训练技能与项目制经验部分匹配，但简历信息不足导致评估受限。薪资范围符合市场水平，AI领域发展前景良好。,可以考虑,基本符合学历与年限要求，但需补充具体技能案例与项目经验以增强竞争力。,您好，我对AI训练师岗位很感兴趣，具备数据标注与模型优化基础经验，可适应项目制工作节奏，期待进一步沟通。
AI训练师(漫剧),3-8K,全职，要求1-3年，学历不限,广州市星洋文化传播,广州,工作地点：广州-白云区-嘉禾,https://www.zhipin.com/job_detail/6d67e3d42a0068a60nd92Ni9ElFY.html,boss,61,简历信息不足导致技能与经验匹配度较低（50分），但岗位薪资范围较宽泛（3-8K），发展前景符合AI行业趋势。,可以考虑,因简历信息缺失难以精准匹配，但岗位门槛较低且薪资可协商，建议补充经历后尝试。,您好，我对AI训练师岗位很感兴趣，具备相关项目经验，期待进一步沟通。
