title,salary,requirements,company,city,description,link,source,match_score,match_reason,recommendation,recommendation_reason,greeting
短视频AI训练师（信息流方向）,12-20K,全职，要求1-3年，大专,猫内传媒,广州,工作地点：广州-白云区-嘉禾,https://www.zhipin.com/job_detail/21b2c4c63710f4130nF709q0E1dY.html,boss,85,候选人具备大模型部署与微调、计算机视觉等核心AI技能，且持有‘人工智能训练师’证书，与岗位高度契合。项目经验中涉及机器人巡检与大模型结合，展现了极强的落地能力。,建议投递,技能栈与AI训练师岗位高度匹配，拥有相关证书及落地项目经验，薪资期望在合理范围内，具备较好的职业成长性。,您好，我对猫内传媒的短视频AI训练师岗位很感兴趣。我有大模型微调与部署经验，且获过AI技能大赛一等奖，非常希望能用我的技术助力贵司的信息流业务增长。
AI训练师,3-4K·13薪,全职，要求在校/应届，本科,广州火羽信息科技,广州,工作地点：广州-天河区-棠下,https://www.zhipin.com/job_detail/9b90f7047245951a0nZ52Nm7FVtR.html,boss,84,候选人拥有人工智能训练师三级证书及丰富的大模型微调、计算机视觉项目经验，技能与岗位高度匹配。但学历为大专，与岗位要求的本科学历存在硬性差距，经验相关性略受影响。,建议投递,技能与项目经验高度契合AI训练师岗位，虽学历未达硬性要求，但具备极强的实操能力，建议尝试沟通争取机会。,您好，看到广州火羽信息科技在招AI训练师。我持有AI训练师三级证书，且有千问大模型微调及计算机视觉项目经验，非常契合岗位要求。虽然学历是大专，但技术落地能力强，希望能有机会和您聊聊！
数据标注/ai训练师,10-15K,全职，要求在校/应届，本科,广东工创智造科技,广州,工作地点：广州-番禺区-大学城,https://www.zhipin.com/job_detail/e6716a76a7a5a3be0nV539q1EFBW.html,boss,80,候选人具备人工智能训练师三级证书及大模型微调实战经验，与岗位核心需求高度匹配；但学历为大专，与岗位要求的本科存在一定差距。,建议投递,虽然学历未达硬性要求，但候选人在AI训练、模型部署及计算机视觉领域有扎实的项目经验和获奖背景，实际能力可能超出预期，值得争取面试机会。,您好，我对广东工创智造科技的AI训练师岗位很感兴趣。我持有AI训练师三级证书，并主导过基于千问大模型的巡检系统开发，熟悉模型微调与CV检测。希望能有机会和您聊聊我的项目经验！
ai应用训练师,5-10K·13薪,全职，要求1-3年，本科,深圳元镜视界科技,广州,工作地点：广州-花都区-花山,https://www.zhipin.com/job_detail/165df41c761bf1ae0nZ-29m0EFtY.html,boss,80,您的大模型微调、计算机视觉及AI训练师证书与岗位高度匹配（85分），但学历为大专，与岗位要求的本科存在硬性差距（经验分70）。,建议投递,技能与项目经验高度对口，且有相关证书加持，尽管学历存在差距，但实战能力可弥补，建议尝试沟通。,您好，看到深圳元镜视界在招AI应用训练师。我持有AI训练师三级证书，且做过机器人巡检大模型微调项目，对模型调优很熟悉。虽然学历是大专，但项目实战经验丰富，希望能有机会和您聊聊！
ai客服训练师,10-15K,全职，要求1年以内，大专,妙莲,广州,工作地点：广州-白云区-嘉禾,https://www.zhipin.com/job_detail/c852322dc3dad97f0nF70ty5EFZT.html,boss,79,候选人持有AI训练师证书且有大模型微调经验，技能高度匹配；虽为应届生缺乏商业落地经验，但技术底子扎实，薪资要求合理。,建议投递,技能对口且有相关证书，虽然经验稍浅，但符合岗位对1年以内经验的要求，具备培养潜力。,您好，我对妙莲的AI客服训练师岗位很感兴趣。我持有AI训练师三级证书，并有实际的大模型微调与部署经验，熟悉Prompt工程与知识库构建，希望能用我的技术背景为贵司的AI客服系统优化贡献力量，期待您的回复！
数据标注/AI训练师（视频方向）,9-13K,全职，要求1-3年，本科,因为肤理,广州,工作地点：广州-海珠区-琶洲,https://www.zhipin.com/job_detail/deb89959d3d846460nF709y7EFVZ.html,boss,76,候选人拥有AI训练师证书及计算机视觉、大模型微调项目经验，技能与岗位高度契合。但学历为大专，与岗位要求的本科存在硬性差距，且视频方向专项经验相对较少。,可以考虑,技能与AI训练师岗位高度匹配，但学历未达到本科要求，建议作为备选尝试。,您好，看到因为肤理在招数据标注/AI训练师（视频方向）。我持有AI训练师三级证书，且在大模型部署和计算机视觉项目中有实战经验，对视频数据标注流程很熟悉。希望能有机会聊聊，谢谢！
ai训练师,13-26K,全职，要求1-3年，本科,十月六,广州,工作地点：广州-白云区-黄边,https://www.zhipin.com/job_detail/3682a0c8a684b2370nV83di1ElNQ.html,boss,75,您的 Python、大模型微调及计算机视觉技能与 AI 训练师岗位高度匹配（85分），但学历为大专且工作年限可能不足1年，与本科及1-3年要求存在差距（60分）。薪资范围较宽，候选人期望未定，有协商空间（80分）。,可以考虑,虽然学历和工作年限未完全达标，但项目经验与 AI 训练师核心职责高度契合，且有竞赛获奖加持，建议尝试投递争取面试机会。,您好，看到十月六在招 AI 训练师。我擅长大模型微调与 OpenCV 开发，曾获全国人工智能大赛一等奖，项目经验与岗位需求高度契合。虽然学历是大专，但技术落地能力强，希望能有机会聊聊！
AI训练师-业务流程自动化-双休,10-15K·13薪,全职，要求3-5年，本科,广州盛为电子,广州,工作地点：广州-白云区-三元里,https://www.zhipin.com/job_detail/158b3f26aaf8be780nB8292_FlpZ.html,boss,75,技能匹配度较高（80分），具备大模型微调、CV及自动化相关项目经验；但学历为大专且工作年限不足3年，与硬性要求存在差距（60分）。,建议投递,虽然学历和年限未完全达标，但项目经验扎实且获过省级AI竞赛一等奖，具备较强的实操潜力，值得争取面试机会。,您好，我对盛为电子的AI训练师岗位很感兴趣。我虽是大三应届生，但获过省人工智能大赛一等奖，且独立做过大模型微调与自动化项目，希望能用实战经验弥补年限差距，期待您的回复！
ai训练师,24-30K,全职，要求1-3年，本科,无添加化妆品,广州,工作地点：广州-黄埔区-南岗,https://www.zhipin.com/job_detail/cf6f220b5a7259580nB82Nq5FFZT.html,boss,68,候选人具备大模型部署、微调及计算机视觉等核心 AI 技能，与岗位技术栈高度匹配。但学历为大专且缺乏 1-3 年正式工作经验，与岗位硬性要求存在差距。,可以考虑,技能匹配度极高，但学历和经验年限未达硬性要求，建议尝试投递并突出项目成果。,您好，关注到无添加化妆品在招 AI 训练师。我虽为大专学历，但拥有大模型微调及计算机视觉项目实战经验，曾获人工智能大赛一等奖，非常希望能用技术为品牌赋能，期待能有机会与您沟通！
AI训练师/剪辑（千川信息流短视频）,10-15K,全职，要求1-3年，学历不限,格源科技,广州,工作地点：广州-番禺区-洛溪,https://www.zhipin.com/job_detail/16b611b7da765fd80nF709i7FVtZ.html,boss,66,候选人拥有AI训练师证书及大模型微调经验，但岗位核心要求视频剪辑技能未在简历中体现，且求职意向为开发岗，与岗位职能存在偏差。,可以考虑,候选人具备AI相关证书和项目经验，但岗位要求的剪辑技能缺失，且技术背景与岗位核心职责匹配度一般。,您好，我是蒋睿，看到格源科技在招AI训练师/剪辑。我有AI训练师三级证书，还做过千问大模型的微调项目，虽然剪辑经验还在积累，但我对AI落地非常有热情，希望能有机会聊聊。
ai训练师,4-5K,全职，要求3-5年，学历不限,行也文化传媒有限公司,广州,工作地点：广州-白云区-嘉禾,https://www.zhipin.com/job_detail/53a44bd30dea62830nB70tq-GVtU.html,boss,60,您的AI相关技能（大模型部署、计算机视觉）与岗位需求高度匹配（75分），但岗位要求3-5年经验，您目前工作年限较短（30分）。薪资范围4-5K符合初级岗位预期（80分），AI行业前景广阔（85分）。,可以考虑,技能匹配度高且行业前景好，但工作年限与岗位要求存在差距，建议作为备选尝试投递。,您好，我对行也文化传媒的AI训练师岗位很感兴趣。我有大模型部署与计算机视觉项目经验，虽然工作年限较短，但技术热情高，希望能有机会交流。
AI训练（葡萄牙语）,6-10K,全职，要求经验不限，本科,虎跃数据,广州,工作地点：广州-天河区-龙洞,https://www.zhipin.com/job_detail/a2719734371baec30nF62tq9F1RR.html,boss,55,候选人具备AI相关技能（大模型微调、计算机视觉），但岗位核心要求葡萄牙语能力未在简历中体现，且学历要求本科而候选人为大专，存在硬性门槛差距。,可以考虑,虽然技术背景与AI训练相关，但语言能力和学历存在不匹配，建议作为备选尝试，同时关注其他AI开发类岗位。,您好，看到虎跃数据在招AI训练（葡萄牙语）岗位。我虽主修软件开发，但有大模型微调、计算机视觉项目经验，获过人工智能应用大赛一等奖。想了解该岗位是否更侧重AI技术能力，期待与您沟通！
AI训练师（西班牙语）-周末双休,6-10K,全职，要求经验不限，本科,上海勤穆网络科技,广州,工作地点：广州-天河区-龙洞,https://www.zhipin.com/job_detail/947b197f5d27240a0nF709q6ElNU.html,boss,55,候选人具备AI项目经验（大模型微调、CV），但岗位核心要求西班牙语能力未在简历中体现，且学历为大专（岗位要求本科），技能匹配度较低。,可以考虑,虽然技术背景与AI相关，但核心语言技能和学历存在硬伤，仅建议作为备选尝试。,您好，看到上海勤穆网络科技在招AI训练师（西班牙语）。我有大模型微调与CV项目经验，虽简历未体现西语能力，但技术落地能力强。希望能有机会沟通，看技术背景能否弥补语言短板。
电商AI客服训练师,8-11K,全职，要求3-5年，大专,源为科技,广州,工作地点：广州-黄埔区-科学城,https://www.zhipin.com/job_detail/1c045110f66fc03e0nF609u5F1FU.html,boss,55,您的Python、大模型微调及计算机视觉技能与AI训练师岗位高度匹配（80分），但岗位要求3-5年经验，您作为应届生经验严重不足（30分），薪资在范围内（85分）。,可以考虑,技术栈匹配但工作经验差距过大，建议作为储备人才或实习生岗位申请，或寻找初级AI岗位积累经验。,您好，看到源为科技在招电商AI客服训练师。我精通Python和大模型微调，有计算机视觉项目经验，虽然工作年限不足，但技术基础扎实，希望能争取一个初级或实习机会，期待您的回复！
