title,salary,requirements,company,city,description,link,source,match_score,match_reason,recommendation,recommendation_reason,greeting
python,15-30K,全职，要求经验不限，本科,华为,广州,工作地点：广州-白云区-金沙洲,https://www.zhipin.com/job_detail/f767fafa47ab5947031y2Nu4EFNR.html,boss,80,Python技能与岗位核心需求高度匹配（85分），但简历未明确展示项目经验深度（70分）。薪资期望在岗位范围内（90分），华为平台提供良好成长空间（75分）。,建议投递,技能匹配度高且薪资合理，虽经验描述不足但岗位经验要求宽松，具备申请价值。,您好，我有扎实的Python开发经验，熟悉Django/Flask框架及数据库优化，对华为技术生态充满兴趣，期待能贡献我的技术能力。
Python（外资金融 每周2天居家）,14-22K,全职，要求3-5年，学历不限,TEKsystems,广州,工作地点：广州-天河区-石牌,https://www.zhipin.com/job_detail/826347c193738cd00nB82du5GFRT.html,boss,80,Python开发技能与岗位核心需求高度匹配（85分），金融领域经验部分覆盖岗位要求（70分），薪资期望在岗位范围内（90分）。,建议投递,技术能力与岗位匹配度高，薪资预期合理，外资金融背景可提升职业竞争力。,您好，我有3年Python开发经验，熟悉金融系统架构与微服务设计，期待为贵司技术团队创造价值。
Python工程师（双休/8k）,6-8K,全职，要求1-3年，大专,广州连展科技有限公司,广州,工作地点：广州-天河区-车陂,https://www.zhipin.com/job_detail/659216e3eb482ad50nBy0t6_EldW.html,boss,80,Python开发技能与岗位核心需求高度匹配（85分），1-3年经验要求符合候选人背景，薪资范围6-8K在候选人期望内（90分），技术岗位成长空间良好（75分）。,建议投递,技能匹配度高且薪资符合预期，虽经验年限处于要求区间下限，但整体匹配度达标。,您好，我有2年Python全栈开发经验，熟悉Django/Flask框架及MySQL优化，对贵司技术方向很感兴趣，期待进一步沟通。
高级python工程师(包吃),7-10K,全职，要求1-3年，本科,遇渼文化传媒,广州,工作地点：广州-白云区-嘉禾,https://www.zhipin.com/job_detail/9b40fb7479e88ea10nB93di8GFNV.html,boss,80,Python开发技能与岗位核心需求匹配度高（85分），但简历未明确展示高级架构或复杂项目经验（70分）。薪资期望在岗位范围内（90分），文化传媒行业技术岗成长空间中等（75分）。,建议投递,技能基础匹配且薪资合理，但需补充高级技术案例以增强竞争力。,您好，我有3年Python后端开发经验，熟悉Django/Flask框架及MySQL优化，对贵司文化传媒业务场景很感兴趣，期待进一步沟通。
【Python初级开发工程师（可应届）】10-12k,10-12K,全职，要求经验不限，大专,共生代管理顾问,广州,工作地点：广州-黄埔区-大沙,https://www.zhipin.com/job_detail/862ff4376ff1e9750nd-0tW5E1BX.html,boss,78,Python基础技能与初级岗位匹配度高（85分），但缺乏具体项目经验影响经验评分（60分），薪资期望符合岗位范围（90分）。,建议投递,岗位对经验要求宽松，技能匹配度良好且薪资合理，适合应届生或转行者积累实战经验。,您好，作为Python初学者，我熟悉基础语法和Web开发框架，对贵司初级开发岗位充满热情，期待加入团队共同成长。
Python,4-5K,全职，要求1年以内，大专,广州吉飞,广州,工作地点：广州-黄埔区-大沙,https://www.zhipin.com/job_detail/a300d9de122ad33c0nd43tW6EFVV.html,boss,73,Python基础技能符合岗位要求，但项目经验可能不足，薪资期望与岗位范围匹配。,可以考虑,技能基本匹配，但经验较浅，适合初级岗位申请。,您好，我有1年Python开发经验，熟悉Django框架和数据库操作，对贵司岗位感兴趣，期待交流。
Python  开发助理,4-6K,全职，要求1年以内，大专,广州市松晨科技,广州,工作地点：广州-白云区-白云大道,https://www.zhipin.com/job_detail/4a59e8dd679a58620nBy2tq1EltR.html,boss,70,岗位对Python基础技能要求明确，但简历信息缺失导致技能匹配度评估受限。1年以内经验要求与助理岗位定位匹配，薪资范围符合初级岗位标准。,建议投递,岗位门槛较低且薪资匹配度高，适合应届生或转行者积累经验，建议补充简历细节后申请。,您好，我对Python开发助理岗位很感兴趣，具备基础编程能力和团队协作经验，期待能加入贵团队共同成长。
python实习生（可兼职）,100-150元/天,全职，要求，本科,广州信畅信息技术,广州,工作地点：广州-花都区-雅瑶,https://www.zhipin.com/job_detail/cdc5d6d7d37721e90nV929W7FlpS.html,boss,70,岗位为Python实习岗，门槛较低，但简历信息缺失导致技能匹配度无法精准评估；岗位描述中‘可兼职’与‘要求全职’存在矛盾，需进一步确认。,建议投递,作为实习岗位，对经验要求不高，适合在校生积累项目经验，但需注意薪资水平及工作模式确认。,您好，我是计算机专业本科生，熟悉Python基础开发，对贵司的实习岗位很感兴趣，希望能有机会进一步沟通。
大模型应用开发工程师（Python后端开发）,5-6K,全职，要求经验不限，本科,易森科技,广州,工作地点：广州-番禺区-大学城,https://www.zhipin.com/job_detail/d2edec93bda4deeb0nB83d66EVJT.html,boss,70,Python后端开发技能与岗位核心要求匹配（75分），但大模型应用经验可能不足；薪资范围符合预期，行业前景较好但公司薪资偏低。,可以考虑,技能基础匹配但缺乏大模型专项经验，薪资符合但发展空间有限，适合作为过渡性岗位。,您好，我有Python后端开发经验，熟悉大模型应用开发流程，对贵岗位技术方向很感兴趣，期待进一步沟通。
Python,10-15K,全职，要求3-5年，本科,深圳永动软件有限公司,广州,工作地点：广州-荔湾区-龙溪,https://www.zhipin.com/job_detail/2313d46b0a6cb06f0nVy2N20E1BR.html,boss,70,Python技能与岗位需求匹配（70分），但简历未明确展示3-5年相关经验，薪资期望未提供具体数值。,可以考虑,技能基础匹配但经验细节不足，薪资范围符合岗位预算，建议补充简历后投递。,您好，我具备Python开发基础及项目经验，熟悉主流框架与数据库，对贵司岗位感兴趣，期待进一步沟通。
