title,salary,requirements,company,city,description,link,source,match_score,match_reason,recommendation,recommendation_reason,greeting
python 大数据,,全职，要求经验不限，本科,四川几点钟科技,广州,工作地点：广州-黄埔区-镇龙,https://www.zhipin.com/job_detail/3dd5182d30ae827303N63t-_GFZW.html,boss,80,您的 Python 技能与岗位高度匹配（85分），具备扎实的后端开发与数据处理能力，且有多个 AI 与大数据相关项目经验。虽然学历为大专（岗位要求本科），但项目实战经验丰富，能弥补学历短板。,建议投递,技能匹配度高，薪资在期望范围内，建议投递。,您好，我有扎实的 Python 开发经验，熟悉大数据处理与 AI 模型部署，曾主导多个数据处理项目，对贵司 Python 大数据岗位很感兴趣，期待进一步沟通。
PYTHON 开发工程师,,全职，要求在校/应届，本科,远思基金,广州,工作地点：广州-番禺区-大学城,https://www.zhipin.com/job_detail/8d3aebe3f5c32efa03Ry2d66EFNX.html,boss,80,您的 Python 技能与岗位高度匹配（85分），项目经验涵盖 AI 与全栈开发，远超应届生平均水平。,可以考虑,技能与项目经验高度匹配，但学历（大专）未达岗位硬性要求（本科），建议尝试投递并突出项目优势。,您好，我有扎实的 Python 开发经验，主导过人脸识别与大模型部署项目，获全国 AI 大赛一等奖，期待能有机会沟通。
Python API开发工程师,,全职，要求1年以内，本科,君达,广州,工作地点：广州-番禺区-大石,https://www.zhipin.com/job_detail/a46dbc92d6064e8b1Xxz3dy9FVJY.html,boss,80,您的 Python 技能与岗位高度匹配（90分），具备丰富的 API 开发与后端接口经验，且拥有 AI 项目落地能力。但学历为大专，与岗位要求的本科存在硬性差距（70分），需重点考察技术实力。,建议投递,技术栈高度契合且项目经验丰富，虽学历未达硬性要求，但竞赛获奖与 GitHub 项目可弥补，建议尝试沟通。,您好，我有扎实的 Python 开发经验，主导过人脸识别与 AI 巡检项目，获人工智能大赛一等奖，GitHub 有完整代码，期待与您沟通。
python,,全职，要求经验不限，本科,华为,广州,工作地点：广州-白云区-金沙洲,https://www.zhipin.com/job_detail/f767fafa47ab5947031y2Nu4EFNR.html,boss,80,您的 Python 技能与 AI 项目经验（大模型部署、CV）与岗位高度匹配（85分），项目实战能力强且有竞赛获奖背书。虽然学历为大专（岗位要求本科），但技术栈覆盖全面，具备较强的工程落地能力。,建议投递,技能匹配度高，项目经验扎实，虽学历稍弱但符合‘经验不限’条件，华为平台发展前景好，值得尝试。,您好，我有扎实的 Python 开发经验，熟悉大模型部署与计算机视觉，曾获人工智能大赛一等奖，对华为 Python 岗位很感兴趣，期待进一步沟通。
Python,,全职，要求，本科,华南虎科技有限公司,广州,工作地点：广州-海珠区-琶洲,https://www.zhipin.com/job_detail/81fe71b0b4502ce103B63tm1FVNR.html,boss,80,候选人精通 Python 及 AI 相关技术，项目经验与岗位高度契合，但学历为大专，与岗位要求的本科存在硬性差距。,可以考虑,技术栈与项目经验非常匹配，但学历不符合硬性要求，建议作为备选或尝试沟通。,您好，我精通 Python 与 AI 模型部署，有国赛一等奖及多个落地项目经验，虽学历为大专，但技术实力扎实，期待能有机会沟通。
python,,全职，要求3-5年，本科,京北方,广州,工作地点：广州-白云区-机场路,https://www.zhipin.com/job_detail/27e3b3b120bffbd31HN429y9FVRV.html,boss,75,候选人Python技能扎实且具备AI项目经验，与岗位技术栈高度匹配（85分），但学历为大专且工作年限未达3-5年要求，经验相关性略低（60分）。,建议投递,虽然学历和年限存在硬性差距，但技能匹配度高且项目经验丰富，建议尝试投递以争取面试机会。,您好，我精通Python及AI模型部署，有多个落地项目经验，虽学历为大专但技术扎实，对京北方岗位很感兴趣，期待沟通。
Python 爬虫开发工程师,,全职，要求在校/应届，本科,牛媒数据,广州,工作地点：广州-海珠区-赤岗,https://www.zhipin.com/job_detail/59849531fcd14e6a1n152Nq7F1NV.html,boss,75,候选人精通 Python 且具备多个相关项目经验，技能匹配度高（85分）。但岗位要求本科，候选人学历为大专，存在硬性门槛差距（70分）。薪资未明确，按应届生常规预期评估（80分）。,建议投递,虽然学历存在硬伤，但 Python 技术栈与项目经验高度契合，且为应届生身份，建议尝试投递争取面试机会。,您好，我是计算机专业应届生，精通 Python 且有多个 AI 与全栈项目经验，对爬虫开发很感兴趣，希望能有机会沟通。
Python,,全职，要求3-5年，大专,广州花影轩科技,广州,工作地点：广州-天河区-元岗,https://www.zhipin.com/job_detail/536d577c28df745103V62ti7GFBU.html,boss,65,候选人掌握 Python 及 AI 相关技能，与岗位技术栈高度匹配（85分），但岗位要求 3-5 年经验，候选人作为 2006 年出生且学历为大专的学生，实际工作经验严重不足，经验相关性较低（40分）。,可以考虑,虽然技能匹配度高且具备 AI 项目经验，但工作年限与岗位硬性要求差距较大，建议作为初级岗位或实习岗位尝试投递。,您好，我精通 Python 及大模型应用开发，拥有多个 AI 项目落地经验，虽工作年限尚浅但学习能力强，希望能有机会面试沟通。
Python,,全职，要求3-5年，本科,广东抱谷科技有限公司,广州,工作地点：广州-天河区-员村,https://www.zhipin.com/job_detail/74cd5278edeb303b03Nz09i1EVVR.html,boss,65,您的Python及AI技能与岗位高度匹配（85分），但学历为大专且缺乏3-5年全职经验（40分），硬性条件存在差距。,可以考虑,技术能力突出且有竞赛获奖，但学历与工作年限未达硬性要求，建议作为备选尝试。,您好，我有扎实的Python与AI落地经验，曾获人工智能大赛一等奖，虽工作年限未达要求，但技术热情高，期待沟通。
Python开发,,全职，要求3-5年，大专,即合智能科技,广州,工作地点：广州-天河区-五山,https://www.zhipin.com/job_detail/97c85a1d8685a0651Hxy2d61EFtQ.html,boss,65,Python技能与岗位高度匹配（85分），具备大模型与计算机视觉背景；但岗位要求3-5年经验，候选人主要为项目/竞赛经历，工作经验匹配度较低（30分）。,可以考虑,虽然技术栈匹配且具备AI领域潜力，但工作年限未达标，建议作为备选或争取实习/初级岗位机会。,您好，我对Python开发岗位很感兴趣。我有扎实的项目经验，包括人脸识别与AI巡检系统，熟悉大模型部署，希望能有机会与您沟通。
python (算法也可),,全职，要求1-3年，本科,睿服科技,广州,工作地点：广州-海珠区-琶洲,https://www.zhipin.com/job_detail/444743f560c488d90nBy2d26E1dR.html,boss,63,您的 Python 技能与岗位高度匹配（85分），具备大模型部署、计算机视觉等算法相关项目经验。但岗位要求本科及1-3年经验，您目前为大专学历且缺乏全职工作经验（40分），薪资期望未明确（50分）。,可以考虑,技能匹配度高，但学历和经验未达硬性门槛，建议作为备选尝试。,您好，我有扎实的 Python 和 AI 项目经验，曾获人工智能大赛一等奖，熟悉大模型部署与 CV 技术，期待能有机会加入睿服科技。
AI应用开发工程师（Python）,,全职，要求5-10年，本科,旭普,广州,工作地点：广州-天河区-高唐,https://www.zhipin.com/job_detail/47e3c5d7559207e903Fy29q7E1tY.html,boss,55,您的 Python 和 AI 技能与岗位高度匹配（85分），但岗位要求 5-10 年经验及本科学历，您的实际工作年限和学历存在较大差距（20分），薪资期望未明确但可能低于岗位预期。,不推荐,虽然技术栈匹配度高，但硬性条件（学历、工作年限）严重不符，建议积累更多商业项目经验后再投递。,您好，我对 AI 应用开发充满热情，熟练掌握 Python 及大模型部署，虽工作年限尚浅，但项目实战经验丰富，期待能有机会交流。
AI开发工程师（Python）,,全职，要求3-5年，本科,信雅达科技股份,广州,工作地点：广州-荔湾区-陈家祠,https://www.zhipin.com/job_detail/e8206f6ad329afc603dz3N-0GVtU.html,boss,55,您的 Python 和 AI 技能（大模型、CV）与岗位高度匹配（85分），但岗位明确要求3-5年经验及本科学历，您的大专学历及项目经验年限存在明显差距（30分）。,不推荐,硬性条件（学历、工作年限）不达标，直接投递通过率极低，建议先积累全职工作经验或提升学历。,您好，我对信雅达的AI开发岗位很感兴趣。我有扎实的Python和CV落地经验，曾获AI大赛一等奖，虽年限尚浅，但项目实战能力强，希望能争取一个面试机会。
Python,,全职，要求3-5年，本科,广州海之鑫,广州,工作地点：广州-天河区-龙洞,https://www.zhipin.com/job_detail/3cb9ffc44933979403Z50926GFBV.html,boss,55,候选人掌握Python及AI相关技能，与岗位技术栈高度匹配（80分），但学历为大专且缺乏3-5年全职工作经验（30分），存在硬性门槛差距。,不推荐,岗位明确要求本科及3-5年经验，候选人学历与工作年限均未达标，建议先积累项目经验或提升学历后再投递。,您好，我对Python开发岗位很感兴趣，具备大模型部署及CV项目经验，虽工作年限尚浅，但技术热情高，希望能争取面试机会。
Python 开发工程师,,全职，要求3-5年，本科,卓术科技,广州,工作地点：广州-天河区-林和,https://www.zhipin.com/job_detail/70bb47d881c5376803B-29i8EVVU.html,boss,45,候选人掌握 Python 及 AI 相关技能，与岗位技术栈有一定重合，但缺乏 3-5 年实际工作经验，且学历为大专，未达到岗位本科及年限的硬性要求。,不推荐,学历与工作年限均未达到岗位硬性门槛，直接投递通过率低，建议先积累项目经验或寻找对学历年限要求更灵活的岗位。,您好，我对 Python 开发及 AI 应用方向非常感兴趣，在校期间主导过多个 AI 与全栈项目，虽经验尚浅但学习能力强，希望能争取一个面试机会。
